class,subclass,r_id,r_name,classification_notes,additional_info,link
Identity,Near equivalence,Biosimilar of,Biosimilar of,"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps). Example: [Pegfilgrastim-bmez] -> [Pegfilgrastim]",,
Hierarchy,Categorical – up,CAP parent item of,CAP parent item of,Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Categorical – up,CAP protocol of,CAP protocol of,Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Categorical – up,CAP-Nebraska cat,CAP to Nebraska Lexicon category,Assigns a concept to a high-level grouping or classification chapter.,,
Identity,Exact equivalence,CAP-Nebraska eq,CAP to Nebraska Lexicon equivalent,"Explicitly tagged as equivalent, representing exact semantic identity.",,
Hierarchy,Categorical – up,Category in Chapter,Category in Chapter,Assigns a concept to a high-level grouping or classification chapter.,,
Association,Causal,Causative agent of,Causative agent of (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [SARS-CoV-2 antigen vaccine] -> [Adverse reaction to COVID-19 antigen vaccine]","identifies an organism, substance, physical object, physical force, and/or pharmaceutical/biological product as the direct cause of a condition",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#causative-agent
Association,Administrative,CD category of,Controlled drug cathehory of (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Hierarchy,Categorical – up,Chapter has Category,Chapter has Category,Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Categorical – up,Chapter to ICDO,Chapter to ICDO,Assigns a concept to a high-level grouping or classification chapter.,,
Attribute,Anatomical,Characterizes,Characterizes (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Measured quantity of intake of potassium in 24 hours] -> [Introduction procedure]","Specifies the process which the property describes, and on which the property (of this observable) depends",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#characterizes
Attribute,Anatomical,Chem structure of,Chemical structure of (NDF-RT),"Spatial qualifier describing location, morphology, or extent. Example: [tripeptidyl-peptidase 1] -> [CERLIPONASE ALFA]",,
Identity,Exact equivalence,Chem to Prep eq,Chemical Structure to Pharmaceutical Preparation equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Mastic Resin] -> [GUM MASTIC]",,
Association,Therapeutic,CI by,Contraindicated by (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Drug Hypersensitivity]",,
Association,Mechanistic,CI physiol effect by,Contraindicating physiological effect induced by (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Bronchoconstriction] -> [ADENOSINE 3MG/ML INJ,SYRINGE 2ML]",,
Association,Therapeutic,CI to,Contraindication to (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [Alkalosis] -> [SODIUM CHLORIDE 0.45% SOLN,IRRG]",,
Association,Administrative,CMS Specialty - NUCC,CMS Specialty to NUCC (CMS),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Administrative,Combi prod ind of,Combination product indicator of (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Composition,Structural,Conc denom unit of,Concentration strength denominator unit of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Actuation] -> [Product containing precisely lidocaine 10 milligram/1 actuation conventional release oromucosal spray],,
Composition,Structural,Conc denom val of,Concentration strength denominator value of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [One] -> [Product containing precisely sodium chloride 90 milligram/10 milliliter conventional release solution for injection vial],,
Composition,Structural,Conc num unit of,Concentration strength numerator unit of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [millimole] -> [Product containing precisely gadodiamide 10 millimole/20 milliliter conventional release solution for injection vial],,
Composition,Structural,Conc num val of,Concentration strength numerator value of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Eleven point four] -> [Product containing precisely povidone iodine 11.4 milligram/1 gram conventional release powder for cutaneous spray],,
Hierarchy,Taxonomic – up,Concept was_a from,Active was_a inactive (SNOMED),"SNOMED's was_a is a historical IS-A snapshot. This concept used to be classified under that parent before a model change. Not a current equivalence assertion.",,
Hierarchy,Taxonomic – up,Concept was_a to,Inactive was_a active (SNOMED),"SNOMED's was_a is a historical IS-A snapshot. This concept used to be classified under that parent before a model change. Not a current equivalence assertion.",,
Composition,Physical,Consists of,Consists of (RxNorm),Physical material assembly or structural part-whole relationship. Example: [hepatitis B immune globulin 200 UNT/ML Injectable Solution] -> [hepatitis B immune globulin 200 UNT/ML],Links a drug to its components (e.g. multi-component drugs).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Physical,Constitutes,Constitutes (RxNorm),Physical material assembly or structural part-whole relationship. Example: [hepatitis B immune globulin 217 UNT/ML] -> [hepatitis B immune globulin 217 UNT/ML Injectable Solution],Links a component back to the whole drug.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Physical,Contained in panel,Contained in panel,Physical material assembly or structural part-whole relationship. Example: [SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay] -> [SARS-CoV-2 (COVID-19) Ab panel - Serum or Plasma by Immunoassay],,
Composition,Physical,Contained in version,Table/field contained in OMOP CDM Version (OMOP),Physical material assembly or structural part-whole relationship. Example: [cdm_source.cdm_holder] -> [OMOP CDM Version 5.4.0],,
Composition,Structural,Count of act ing in,Is count of active ingredients in (SNOMED),Defines the inherent chemical constituents or dosage strength.,,
Composition,Structural,Count of ing of,Count of base of active ingredient of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Four] -> [Product containing precisely aspirin 325 milligram and butalbital 50 milligram and caffeine 40 milligram and codeine phosphate 30 milligram/1 each conventional release oral capsule],,
Hierarchy,Categorical – up,CPT4 - SNOMED cat,CPT-4 to SNOMED category (OMOP),"Assigns a concept to a high-level grouping or classification chapter. Example: [Pericardiocentesis, including imaging guidance, when performed] -> [Operation on pericardium]",,
Association,Therapeutic,Curr adult indic for,Current adult indication for (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Esophageal squamous cell carcinoma] -> [Cisplatin and Paclitaxel (TP)],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Curr ped indic for,Current pediatric indication for (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Anaplastic large cell lymphoma pediatric] -> [APO],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Current treated by,Currently treated by (HemOnc),Links therapeutic interventions to clinical indications or contraindications.,,
Identity,Near equivalence,CVX - RxNorm,CVX - RxNorm (OMOP),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps). Example: [Anthrax vaccine, adsorbed, adjuvanted, post-exposure prophylaxis] -> [Bacillus anthracis strain V770-NP1-R antigens 0.1 MG/ML Injectable Suspension [Cyfendus]]",,
Association,Therapeutic,Cytotox chemo RX of,Cytotoxic chemotherapy of - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [valproate] -> [Decitabine and Valproate],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Cytotoxic chemo of,Cytotoxic chemotherapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Azacitidine oral] -> [Azacitidine oral monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Temporal,Date of variable,Date of variable (NAACCR),"Qualifies clinical events by their timing, sequence, or duration.",,
Composition,Structural,Denom value of,Presentation strength denominator value of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Four] -> [Product containing precisely dalteparin sodium 100000 unit/4 milliliter conventional release solution for injection vial],,
Composition,Structural,Denominator unit of,Presentation strength denominator unit of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Actuation] -> [Product containing precisely fluticasone propionate 500 microgram and salmeterol (as salmeterol xinafoate) 50 microgram/actuation conventional release powder for inhalation],,
Attribute,Procedural,Device used by,Device used by (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Oocyte aspiration needle] -> [Laparoscopic oocyte recovery]",,
Attribute,Procedural,Dir device of,Direct device of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Accelerometer] -> [Provision of accelerometer]",Direct device (attribute) represents the device on which the method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-device
Composition,Structural,Dir subst of,Direct substance of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [SARS-CoV-2 antigen vaccine] -> [Administration of SARS-CoV-2 antigen vaccine],Direct substance (attribute) describes the Substance or Pharmaceutical/biologic product on which the procedure's method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-substance
Attribute,Anatomical,Direction of,Direction of,"Spatial qualifier describing location, morphology, or extent. Example: [Negative] -> [Have you had any unintentional release (leakage) of urine?]",,
Attribute,Clinical,Disc indicator of,Discontinued indicator of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators.",,
Attribute,Pharmaceutical,Disp dose form of,Dispensed dose form of (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Tablet] -> [Levothyroxine sodium 25 microgram oral tablet],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Attribute,Pharmaceutical,Disposition of,Disposition of (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [B-cell lymphoma 2 inhibitor] -> [Venetoclax],,
Composition,Logical,DOI - RxNorm,DOI contains RxNorm (OMOP),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [OMOP ACE Inhibitor] -> [ramipril 2.5 MG Oral Capsule]",,
Hierarchy,Taxonomic – down,Domain subsumes,Domain subsumes (OMOP),Refinement from a broad parent to a specific child.,,
Attribute,Pharmaceutical,Dose form group of,Dose form group of (RxNorm),Qualifies physical drug delivery properties or dose forms. Example: [Pyelocalyceal Product] -> [Jelmyto Pyelocalyceal Product],,
Attribute,Pharmaceutical,Dose form unit of,Unit relating to the size of (DM+D),Qualifies physical drug delivery properties or dose forms. Example: [Tablet - unit of product usage] -> [Levothyroxine sodium 25 microgram oral tablet],,
Association,Administrative,DRG - MDC cat,DRG to MDC category (CMS),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Heart transplant or implant of heart assist system w MCC] -> [Ungroupable]",,
Association,Causal,Due to of,Due to of (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [Sickle cell-hemoglobin SS disease] -> [Proliferative retinopathy due to sickle cell disease]","to identify a clinical finding/disorder, event, or procedure concept as the direct cause of another Clinical finding or Disorder concept",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#due-to
Attribute,Temporal,During,During (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Shoulder girdle dystocia] -> [Delivery procedure]","Models concepts in which a clinical finding occurs during a procedure. Neither asserting nor excluding a causal relationship, it instead emphasizes a sequence of events.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#during
Association,Therapeutic,EMA indication of,EMA indication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Esophageal squamous cell carcinoma] -> [Nivolumab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Temporal,End date of,End date of,"Qualifies clinical events by their timing, sequence, or duration. Example: [RX Date Rad Ended] -> [Phase III Dose per Fraction]",,
Association,Therapeutic,Endocrine tx of,Endocrine therapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Antiestrogens] -> [Abemaciclib and ET],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Procedural,Energy used by,Energy used by (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Shockwave] -> [Fluoroscopy guided intravascular shockwave balloon lithotripsy of calcified atherosclerotic plaque of left external iliac artery with contrast]",Using energy (attribute) refers to the energy used to execute an action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#using-energy
Attribute,Clinical,Episodicity of,Episodicity of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [First episode] -> [New onset seizure]","represent episodes of care provided by a physician or other healthcare provider, not episodes of disease experienced by the patient",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#episodicity
Association,Mapping,ETC - RxNorm,ETC to RxNorm (FDB),"ETC is a drug classification scheme, structurally the same as ATC. This connects a drug class to a product, not an ingredient, the same coarse class-to-instance shape as ATC-RxNorm.",,
Identity,Exact equivalence,ETC - RxNorm name,ETC to RxNorm equivalent by concept_name (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Composition,Structural,Excipient of,Excipient of (SNOMED),Defines the inherent chemical constituents or dosage strength.,,
Association,Administrative,Excluded in map from,Standard to Non-standard exclude child (OMOP),"OMOP-internal mapping-exception bookkeeping (scopes/excludes a child concept from a broader Maps to relationship). Describes an exception to a mapping, not an equivalence between the concepts themselves.",,
Attribute,Anatomical,Extent of,Extent of (SNOMED),"Spatial qualifier describing location, morphology, or extent.",,
Association,Therapeutic,FDA indication of,FDA indication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Esophageal squamous cell carcinoma] -> [Pembrolizumab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Administrative,FDA labeling of,FDA labeling of (HemOnc),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Mutation-specific] -> [Tovorafenib]",,
Association,Therapeutic,FDB Ind - ICD9CM,FDB Indication/Contraindication to ICD-9-CM (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Composition,Structural,Filling of,Filling material of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Silicone gel] -> [Silicone gel-filled polyurethane foam covered surface breast implant],Represents the material or substance that fills an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-filling
Association,Diagnostic,Finding asso with,Finding associated with (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Arthropathy in Behcet's syndrome] -> [Behcet's syndrome],,
Association,Diagnostic,Finding inform of,Finding informer of (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Subject of record] -> [Complaining of erectile dysfunction],Specifies the person or other entity from which the clinical finding information was obtained. It is not about the particular individual but about the category or type of informer. It is used to differentiate patient-reported symptoms from provider-determined signs.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-informer
Association,Diagnostic,Finding method of,Finding method of (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Palpation of abdomen] -> [On examination - guarding - right iliac],Specifies the means by which a clinical finding was determined. It includes findings that were determined by examination of the patient.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-method
Attribute,Measurement,Flavor of,Flavor of (SNOMED),"Defines metrics, scales, units, and quantitative properties of an observation.",,
Attribute,Anatomical,Focus of,Focus of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Sickle cell-hemoglobin SS disease] -> [Screening for sickle cell disease]",Has focus (attribute) specifies the Clinical finding or Procedure which is the focus of a procedure. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-focus
Attribute,Temporal,Followed by,Followed by (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Vomiting after gastrointestinal tract surgery] -> [Operation on gastrointestinal tract]",,
Attribute,Temporal,Follows,Follows (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Sickle cell-hemoglobin SS disease] -> [Acute chest syndrome due to sickle cell-hemoglobin C disease with crisis]",,
Attribute,Pharmaceutical,Form continuity of,Dose form continuity indicator (DM+D),Qualifies physical drug delivery properties or dose forms.,,
Attribute,Pharmaceutical,Form of,Form of (RxNorm),Qualifies physical drug delivery properties or dose forms. Example: [intramuscular immunoglobulin] -> [immunoglobulin G],,
Association,Administrative,Free indicator of,NHS dm+d freenes indicator of,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Administrative,Freq Code - Typ bill,Frequency code to Typ bill Full (UB04),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Therapeutic,Growth factor of,Growth factor of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Epoetin beta] -> [Erythropoetin beta and Lenalidomide],,
Association,Therapeutic,Growth factor Rx of,Growth factor Rx of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [motixafortide] -> [Motixafortide and G-CSF],,
Association,Therapeutic,Had accepted for,Had accepted for (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [MALT lymphoma] -> [Tripotassium dicitratobismuthate],,
Association,Therapeutic,Had accepted use,Had accepted use (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Stilbamidine] -> [Multiple myeloma],,
Association,Therapeutic,Has AB-drug cjgt,Has antibody-drug conjugate (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [DA 3+8 and GO] -> [Gemtuzumab ozogamicin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has AB-drug cjgt Rx,Has antibody-drug conjugate - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [DA 3+8 and GO] -> [gemtuzumab ozogamicin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Anatomical,Has absorbability,Has absorbability (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Custom-made bioabsorbable polymeric pancreatic stent] -> [Bioabsorbable]",Represents the absorbability aspect of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-absorbability
Association,Therapeutic,Has accepted use,Has accepted use (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [AC-D] -> [ERBB2 Breast cancer],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Procedural,Has access,Has access (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Percutaneous scraping of tendon sheath] -> [Percutaneous approach]","Access (attribute) describes the route used to access the site of a procedure. It distinguishes open, closed, and percutaneous procedures.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index
Association,Administrative,Has add monitor ind,Has NHS dm+d (dictionary of medicines and devices) additional monitoring indicator,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Attribute,Procedural,Has admin method,Has dose form administration method (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Gas for insufflation] -> [Insufflate]",,
Attribute,Pharmaceutical,Has AMP,Has Actual Medicinal Product (SNOMED),Qualifies physical drug delivery properties or dose forms.,,
Attribute,Pharmaceutical,Has AMP restr ind,Has NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator,Qualifies physical drug delivery properties or dose forms.,,
Composition,Logical,Has Answer,Has Answer,"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay] -> [Nonreactive]",,
Composition,Logical,Has answer (PPI),Has answer (PPI),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [Did you receive the COVID-19 vaccination?] -> [Not sure]",,
Association,Therapeutic,Has anticoag Rx,Has anticoag Rx (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Aspirin and Warfarin] -> [warfarin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has anticoag tx,Has anticoag tx (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Aspirin and Warfarin] -> [Aspirin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has antineopl Rx,Has antineoplastic - RxNorm (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Amoxicillin and Omemprazole] -> [omeprazole],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Has antineoplastic,Has antineoplastic (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Amoxicillin and Omemprazole] -> [Amoxicillin],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Procedural,Has approach,Has Approach (SNOMED),"Defines execution technicalities like route of administration, method, or device used.",,
Attribute,Pharmaceutical,Has ARP,Has ARP (SNOMED),Qualifies physical drug delivery properties or dose forms.,,
Association,Diagnostic,Has asso finding,Has associated finding (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Elevated blood-pressure reading without diagnosis of hypertension] -> [Hypertensive disorder],,
Association,Diagnostic,Has asso proc,Has associated procedure (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Counselled by health visitor] -> [Counseling]",,
Attribute,Pharmaceutical,Has basic dose form,Has basic dose form (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Gas for insufflation] -> [Gas],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Composition,Structural,Has basis str subst,Has basis of strength substance (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Calcium oxybate 500 mg/mL and magnesium oxybate 500 mg/mL and potassium oxybate 500 mg/mL and sodium oxybate 500 mg/mL oral solution] -> [Sodium oxybate],,
Identity,Near equivalence,Has biosimilar,Has biosimilar,"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps). Example: [Bevacizumab] -> [Bevacizumab-aveg]",,
Identity,Near equivalence,Has brand name,Has brand name (OMOP),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps). Example: [Umifenovir] -> [Zhuangtong]",Connects an ingredient/product to a commercial brand name.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Hierarchy,Categorical – up,Has CAP parent item,Has CAP parent item,Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Categorical – up,Has CAP protocol,Has CAP protocol,Assigns a concept to a high-level grouping or classification chapter.,,
Attribute,Measurement,Has CAP value,Has CAP value,"Defines metrics, scales, units, and quantitative properties of an observation.",,
Association,Causal,Has causative agent,Has causative agent (SNOMED),"Relates conditions to their biological, pathological, or environmental causes. Example: [Sickle cell-hemoglobin SS disease] -> [Hemoglobin S]","identifies an organism, substance, physical object, physical force, and/or pharmaceutical/biological product as the direct cause of a condition",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#causative-agent
Association,Administrative,Has CD category,Has controlled drug category (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Attribute,Anatomical,Has chem structure,Has chemical structure (NDF-RT),"Spatial qualifier describing location, morphology, or extent. Example: [CLOTRIMAZOLE 1% SPRAY,TOP] -> [Azoles]",,
Association,Therapeutic,Has CI,Has drug contra-indication (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Hierarchy,Categorical – down,Has CI chem class,Has contraindicating chemical class (NDF-RT),"Expands a classification group into its constituent members. Example: [SOTALOL 15MG/ML INJ,SOLN,10ML] -> [Cisapride]",,
Association,Therapeutic,Has CI physio effect,Has contraindicating physiological effect (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [HYDROMORPHONE 0.2MG/ML/NACL 0.9% INJ,BAG,100ML] -> [Decreased Central Nervous System Organized Electrical Activity]",,
Attribute,Clinical,Has clinical course,Has clinical course (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction] -> [Chronic]",used to represent both the course and onset of a disease or condition,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#clinical-course
Composition,Structural,Has coating material,Has coating material (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Foley 2-way polytetrafluoroethylene coated latex female length urethral catheter with water filled syringe] -> [Polytetrafluoroethylene],Represents the material with which an object is coated,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-coating-material
Association,Administrative,Has combi prod ind,Has combination product indicator (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Composition,Physical,Has comp material,Has compositional material (SNOMED),Physical material assembly or structural part-whole relationship. Example: [Transcatheter biologic tricuspid valve prosthesis] -> [Tissue graft - material],Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-compositional-material
Association,Diagnostic,Has complication,Has complication (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Procedure] -> [Accidental puncture during a procedure on a blood vessel]","Is an unexpected condition, outcome, or adverse event due to another condition, procedure, or treatment.",https://docs.snomed.org/snomed-ct-specifications/snomed-ct-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-and-disorder-modeling/complication-and-sequela-modeling#complication
Composition,Structural,Has conc denom val,Has concentration strength denominator value (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Polyvinyl alcohol 1.4% conventional release eye drops] -> [One],,
Composition,Structural,Has conc num val,Has concentration strength numerator value (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Polyvinyl alcohol 1.4% conventional release eye drops] -> [Fourteen],,
Composition,Structural,Has count of act ing,Count of active ingredients (SNOMED),Defines the inherent chemical constituents or dosage strength.,,
Composition,Structural,Has denomin value,Has presentation strength denominator value (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [AbobotulinumtoxinA 500unit lyophilized powder for conventional release solution for injection] -> [One],,
Composition,Structural,Has denominator unit,Has presentation strength denominator unit (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Elagolix sodium 300 mg oral capsule] -> [Capsule],,
Attribute,Anatomical,Has Direction,Has Direction,"Spatial qualifier describing location, morphology, or extent. Example: [Additional help outside the hospital (e.g. help with daily activities, self help groups, district nurses)?] -> [Positive]",,
Attribute,Pharmaceutical,Has disp dose form,Has dispensed dose form (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Levothyroxine sodium 50 microgram oral tablet] -> [Tablet],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Attribute,Pharmaceutical,Has dose form unit,Has unit relating to the size (DM+D),Qualifies physical drug delivery properties or dose forms. Example: [Levothyroxine sodium 50 microgram oral tablet] -> [Tablet - unit of product usage],,
